Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
3	0.333333	0.0	0	997	0.029087	0.550042	7	0.285714	0.030000	0.042760	
5	0.400000	0.0	0	995	0.038191	0.550042	12	0.333333	0.040000	0.042751	
1	0.000000	0.0	0	999	0.030030	0.550042	1	0.000000	0.030000	0.042708	
3	0.666667	1	0.000000	996	0.046185	0.550042	4	0.500000	0.048000	0.042726	
5	0.400000	0.0	0	995	0.032161	0.550042	9	0.444444	0.034000	0.042697	
7	0.285714	3	0.666667	990	0.029293	0.550042	16	0.375000	0.033000	0.042665	
3	0.666667	2	1.000000	995	0.032161	0.550042	3	0.666667	0.036000	0.042644	
2	0.000000	0.0	0	998	0.032064	0.550042	5	0.400000	0.032000	0.042609	
6	0.500000	0.0	0	994	0.031187	0.550042	11	0.454545	0.034000	0.042581	
2	0.000000	0.0	0	998	0.027054	0.882746	2	0.000000	0.027000	0.042531	
5	0.400000	0.0	0	995	0.024121	0.882746	7	0.285714	0.026000	0.042477	
2	0.500000	0.0	0	998	0.031062	0.882746	9	0.333333	0.032000	0.042444	
2	0.500000	1	0.000000	997	0.037111	0.882746	11	0.363636	0.038000	0.042429	
8	0.125000	2	0.000000	990	0.028283	0.882746	8	0.125000	0.029000	0.042386	
2	0.500000	1	0.000000	997	0.042126	0.882746	10	0.200000	0.043000	0.042388	
